{220} lattice spacing of silicon,1.920155714000000000000000000000E-10,3.200000000000000000000000000000E-18,m
alpha particle-electron mass ratio,7.294299536100000000000000000000E+03,2.900000000000000000000000000000E-06,
alpha particle mass,6.644656750000000000000000000000E-27,2.900000000000000000000000000000E-34,kg
alpha particle mass energy equivalent,5.971919670000000000000000000000E-10,2.600000000000000000000000000000E-17,J
alpha particle mass energy equivalent in MeV,3.727379240000000000000000000000E+03,8.200000000000000000000000000000E-05,MeV
alpha particle mass in u,4.001506179125000000000000000000E+00,6.200000000000000000000000000000E-11,u
alpha particle molar mass,4.001506179125000000000000000000E-03,6.200000000000000000000000000000E-14,kg mol^-1
alpha particle-proton mass ratio,3.972599689330000000000000000000E+00,3.600000000000000000000000000000E-10,
Angstrom star,1.000014950000000000000000000000E-10,9.000000000000000000000000000000E-17,m
atomic mass constant,1.660538921000000000000000000000E-27,7.300000000000000000000000000000E-35,kg
atomic mass constant energy equivalent,1.492417954000000000000000000000E-10,6.600000000000000000000000000000E-18,J
atomic mass constant energy equivalent in MeV,9.314940610000000000000000000000E+02,2.100000000000000000000000000000E-05,MeV
atomic mass unit-electron volt relationship,9.314940610000000000000000000000E+08,2.100000000000000000000000000000E+01,eV
atomic mass unit-hartree relationship,3.423177684500000000000000000000E+07,2.400000000000000000000000000000E-02,E_h
atomic mass unit-hertz relationship,2.252342716800000000000000000000E+23,1.600000000000000000000000000000E+14,Hz
atomic mass unit-inverse meter relationship,7.513006604200000000000000000000E+14,5.300000000000000000000000000000E+05,m^-1
atomic mass unit-joule relationship,1.492417954000000000000000000000E-10,6.600000000000000000000000000000E-18,J
atomic mass unit-kelvin relationship,1.080954080000000000000000000000E+13,9.800000000000000000000000000000E+06,K
atomic mass unit-kilogram relationship,1.660538921000000000000000000000E-27,7.300000000000000000000000000000E-35,kg
atomic unit of 1st hyperpolarizability,3.206361449000000000000000000000E-53,7.100000000000000000000000000000E-61,C^3 m^3 J^-2
atomic unit of 2nd hyperpolarizability,6.235380540000000000000000000000E-65,2.800000000000000000000000000000E-72,C^4 m^4 J^-3
atomic unit of action,1.054571726000000000000000000000E-34,4.700000000000000000000000000000E-42,J s
atomic unit of charge,1.602176565000000000000000000000E-19,3.500000000000000000000000000000E-27,C
atomic unit of charge density,1.081202338000000000000000000000E+12,2.400000000000000000000000000000E+04,C m^-3
atomic unit of current,6.623617950000000000000000000000E-03,1.500000000000000000000000000000E-10,A
atomic unit of electric dipole mom.,8.478353260000000000000000000000E-30,1.900000000000000000000000000000E-37,C m
atomic unit of electric field,5.142206520000000000000000000000E+11,1.100000000000000000000000000000E+04,V m^-1
atomic unit of electric field gradient,9.717362000000000000000000000000E+21,2.100000000000000000000000000000E+14,V m^-2
atomic unit of electric polarizability,1.648777275400000000000000000000E-41,1.600000000000000000000000000000E-50,C^2 m^2 J^-1
atomic unit of electric potential,2.721138505000000000000000000000E+01,6.000000000000000000000000000000E-07,V
atomic unit of electric quadrupole mom.,4.486551331000000000000000000000E-40,9.900000000000000000000000000000E-48,C m^2
atomic unit of energy,4.359744340000000000000000000000E-18,1.900000000000000000000000000000E-25,J
atomic unit of force,8.238722780000000000000000000000E-08,3.600000000000000000000000000000E-15,N
atomic unit of length,5.291772109200000000000000000000E-11,1.700000000000000000000000000000E-20,m
atomic unit of mag. dipole mom.,1.854801936000000000000000000000E-23,4.100000000000000000000000000000E-31,J T^-1
atomic unit of mag. flux density,2.350517464000000000000000000000E+05,5.200000000000000000000000000000E-03,T
atomic unit of magnetizability,7.891036607000000000000000000000E-29,1.300000000000000000000000000000E-37,J T^-2
atomic unit of mass,9.109382910000000000000000000000E-31,4.000000000000000000000000000000E-38,kg
atomic unit of mom.um,1.992851740000000000000000000000E-24,8.800000000000000000000000000000E-32,kg m s^-1
atomic unit of permittivity,1.112650056000000000000000000000E-10,(exact),F m^-1
atomic unit of time,2.418884326502000000000000000000E-17,1.200000000000000000000000000000E-28,s
atomic unit of velocity,2.187691263790000000000000000000E+06,7.100000000000000000000000000000E-04,m s^-1
Avogadro constant,6.022141290000000000000000000000E+23,2.700000000000000000000000000000E+16,mol^-1
Bohr magneton,9.274009680000000000000000000000E-24,2.000000000000000000000000000000E-31,J T^-1
Bohr magneton in eV/T,5.788381806600000000000000000000E-05,3.800000000000000000000000000000E-14,eV T^-1
Bohr magneton in Hz/T,1.399624555000000000000000000000E+10,3.100000000000000000000000000000E+02,Hz T^-1
Bohr magneton in inverse meters per tesla,4.668644980000000000000000000000E+01,1.000000000000000000000000000000E-06,m^-1 T^-1
Bohr magneton in K/T,6.717138800000000000000000000000E-01,6.100000000000000000000000000000E-07,K T^-1
Bohr radius,5.291772109200000000000000000000E-11,1.700000000000000000000000000000E-20,m
Boltzmann constant,1.380648800000000000000000000000E-23,1.300000000000000000000000000000E-29,J K^-1
Boltzmann constant in eV/K,8.617332400000000000000000000000E-05,7.800000000000000000000000000000E-11,eV K^-1
Boltzmann constant in Hz/K,2.083661800000000000000000000000E+10,1.900000000000000000000000000000E+04,Hz K^-1
Boltzmann constant in inverse meters per kelvin,6.950347600000000000000000000000E+01,6.300000000000000000000000000000E-05,m^-1 K^-1
characteristic impedance of vacuum,3.767303134610000000000000000000E+02,(exact),ohm
